stu_id,bynels2m,bynels2r,amind,asian,black,white,hispanic,urm,byses1,byincome,bypared,byrace,bypared_nohs,bypared_hs,bypared_attend2,bypared_grad2yr,bypared_4yrgrad,bypared_masters,bypared_phd,female,bydob_p,f1psepln,p_noplan,p_dontknow,p_votech,p_cc,p_fouryr,p_earlygrad,f2evratt,f2ps1sec
191205,39.150001525878906,20.280000686645508,0,0,0,1,0,0,-0.3499999940395355,7,3,7,0,0,1,0,0,0,0,1,198511,NA,NA,NA,NA,NA,NA,NA,1,1
410204,64.80999755859375,39.790000915527344,0,0,0,1,0,0,-0.2199999988079071,11,2,7,0,1,0,0,0,0,0,0,198509,5,0,0,0,0,1,0,1,2
266133,18.079999923706055,14.5600004196167,NA,NA,NA,NA,NA,NA,-1.1299999952316284,8,1,5,NA,NA,NA,NA,NA,NA,NA,NA,198509,NA,NA,NA,NA,NA,NA,NA,NA,NA
132117,29.469999313354492,19.81999969482422,0,0,0,1,0,0,-0.7900000214576721,7,2,7,0,1,0,0,0,0,0,1,198504,5,0,0,0,0,1,0,0,-3
393209,53.34000015258789,45.130001068115234,0,0,0,1,0,0,0.20999999344348907,10,6,7,0,0,0,0,1,0,0,0,198609,4,0,0,0,1,0,0,0,-3
337211,34.689998626708984,28,0,0,0,1,0,0,-0.6800000071525574,10,2,7,0,1,0,0,0,0,0,1,198608,4,0,0,0,1,0,0,1,4
258113,61.84000015258789,37.619998931884766,0,0,0,1,0,0,-0.38999998569488525,10,2,7,0,1,0,0,0,0,0,1,198509,5,0,0,0,0,1,0,1,1
123261,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,0,-3
297111,54.83000183105469,29.690000534057617,0,1,0,0,0,0,-0.46000000834465027,9,2,2,0,1,0,0,0,0,0,0,198601,5,0,0,0,0,1,0,1,1
163131,50.060001373291016,39.84000015258789,0,1,0,0,0,0,-0.8799999952316284,7,1,2,1,0,0,0,0,0,0,0,198406,5,0,0,0,0,1,0,1,2
158120,65.20999908447266,46.20000076293945,0,0,0,1,0,0,-0.03999999910593033,11,4,7,0,0,0,1,0,0,0,1,198601,4,0,0,0,1,0,0,1,1
301216,19.93000030517578,15.8100004196167,0,0,1,0,0,1,-0.5899999737739563,10,3,3,0,0,1,0,0,0,0,1,198505,4,0,0,0,1,0,0,NA,NA
248205,31.6299991607666,24.040000915527344,0,0,0,1,0,0,-0.5400000214576721,11,3,7,0,0,1,0,0,0,0,1,198602,NA,NA,NA,NA,NA,NA,NA,0,-3
119227,27.049999237060547,21.690000534057617,0,0,1,0,0,1,-0.4300000071525574,8,2,3,0,1,0,0,0,0,0,0,198602,4,0,0,0,1,0,0,-3,-3
308325,25.1299991607666,19.110000610351563,0,0,0,0,1,1,-1.159999966621399,10,7,4,0,0,0,0,0,1,0,0,198609,4,0,0,0,1,0,0,1,4
281112,17.34000015258789,10.15999984741211,0,0,0,0,1,1,-0.8500000238418579,7,3,5,0,0,1,0,0,0,0,1,198601,4,0,0,0,1,0,0,0,-3
154221,35.529998779296875,32.349998474121094,0,0,0,1,0,0,0.6399999856948853,11,7,7,0,0,0,0,0,1,0,1,198602,5,0,0,0,0,1,0,1,5
331223,42.310001373291016,29.969999313354492,0,0,0,1,0,0,-0.15000000596046448,10,2,7,0,1,0,0,0,0,0,1,198606,NA,NA,NA,NA,NA,NA,NA,0,-3
224215,37.77000045776367,19.709999084472656,0,0,0,1,0,0,-0.5699999928474426,6,7,7,0,0,0,0,0,1,0,0,198604,5,0,0,0,0,1,0,0,-3
255206,46.16999816894531,30.219999313354492,0,0,0,0,1,1,-0.49000000953674316,9,2,4,0,1,0,0,0,0,0,1,198601,5,0,0,0,0,1,0,0,-3
363214,32.900001525878906,17.1200008392334,0,0,1,0,0,1,0.33000001311302185,7,6,3,0,0,0,0,1,0,0,1,198602,5,0,0,0,0,1,0,1,4
404201,54.7400016784668,35.13999938964844,0,0,0,1,0,0,0.6200000047683716,12,5,7,0,0,0,0,0,0,0,1,198606,5,0,0,0,0,1,0,1,1
142204,16.6200008392334,18.149999618530273,0,0,0,1,0,0,-0.46000000834465027,9,5,7,0,0,0,0,0,0,0,1,198501,6,0,0,0,0,0,1,1,6
416202,53.220001220703125,35.310001373291016,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,0,1,4
293224,66.94000244140625,32.779998779296875,0,0,0,1,0,0,1.3700000047683716,12,8,7,0,0,0,0,0,0,1,0,198608,5,0,0,0,0,1,0,1,4
